ID,Form_ID,Cognateset_ID,Alignment,Source
abui1241-fuime-knife-1-biglexstat,abui1241-fuime-knife-1,knife-1-0,- - l u i,biglexstat
abui1241-fuime-soil-1-biglexstat,abui1241-fuime-soil-1,soil-1-1,a n e i,biglexstat
abui1241-fuime-hole-1-biglexstat,abui1241-fuime-hole-1,hole-1-1,u l i,biglexstat
abui1241-fuime-house-1-biglexstat,abui1241-fuime-house-1,house-1-0,f a l a - -,biglexstat
abui1241-fuime-stone-1-biglexstat,abui1241-fuime-stone-1,stone-1-0,v - - i,biglexstat
abui1241-fuime-fog-1-biglexstat,abui1241-fuime-fog-1,fog-1-0,t a b o - -,biglexstat
abui1241-fuime-storage_house-1-biglexstat,abui1241-fuime-storage_house-1,storage_house-1-0,k a d a ŋ,biglexstat
abui1241-fuime-star-1-biglexstat,abui1241-fuime-star-1,star-1-0,f ɪ r - i - - - - - - -,biglexstat
abui1241-fuime-sea-1-biglexstat,abui1241-fuime-sea-1,sea-1-0,t a m a - - - - - - -,biglexstat
abui1241-fuime-to_grow-1-biglexstat,abui1241-fuime-to_grow-1,to_grow-1-0,t a p e,biglexstat
abui1241-fuime-rope-1-biglexstat,abui1241-fuime-rope-1,rope-1-1,t i l a,biglexstat
abui1241-fuime-bow-1-biglexstat,abui1241-fuime-bow-1,bow-1-0,p e t i,biglexstat
abui1241-fuime-uncooked_rice-1-biglexstat,abui1241-fuime-uncooked_rice-1,uncooked_rice-1-0,- a - j a k -,biglexstat
abui1241-fuime-raised_platform-1-biglexstat,abui1241-fuime-raised_platform-1,raised_platform-1-0,l i k - - - - -,biglexstat
abui1241-fuime-needle-1-biglexstat,abui1241-fuime-needle-1,needle-1-0,t i ŋ,biglexstat
abui1241-fuime-wave-1-biglexstat,abui1241-fuime-wave-1,wave-1-0,f o u -,biglexstat
abui1241-fuime-sky-1-biglexstat,abui1241-fuime-sky-1,sky-1-0,- a d i,biglexstat
abui1241-fuime-river_stream-1-biglexstat,abui1241-fuime-river_stream-1,river_stream-1-0,l u,biglexstat
abui1241-fuime-fire-1-biglexstat,abui1241-fuime-fire-1,fire-1-0,- - - - - a r a -,biglexstat
abui1241-fuime-hill_ridge-1-biglexstat,abui1241-fuime-hill_ridge-1,hill_ridge-1-0,- - b u k u,biglexstat
abui1241-fuime-lime-1-biglexstat,abui1241-fuime-lime-1,lime-1-0,a w a - i,biglexstat
abui1241-fuime-smoke-1-biglexstat,abui1241-fuime-smoke-1,smoke-1-0,a r a _ t i k a,biglexstat
