ID,Lect_ID,Concept_ID,Form_according_to_Source,Form,Local_Orthography,Segments,Comment,Source
abui1241-fuime-sky-1,abui1241-fuime,sky,adi,adi,adi,a d i,,schapper10
abui1241-fuime-sun-1,abui1241-fuime,sun,wari,wari,wari,w a r i,,schapper10
abui1241-fuime-moon-1,abui1241-fuime,moon,ije,ije,iye,i j e,,schapper10
abui1241-fuime-star-1,abui1241-fuime,star,fɪri,fɪri,firi,f ɪ r i,,schapper10
abui1241-fuime-night-1,abui1241-fuime,night,tuŋtama,tuŋtama,tungtama,t u ŋ t a m a,,schapper10
abui1241-fuime-day-1,abui1241-fuime,day,tadeŋ,tadeŋ,tadeng,t a d e ŋ,,schapper10
abui1241-fuime-morning-1,abui1241-fuime,morning,akuni,akuni,akuni,a k u n i,,schapper10
abui1241-fuime-yesterday-1,abui1241-fuime,yesterday,tuona:,tuonaː,tuonaa,t u o n aː,,schapper10
abui1241-fuime-day_before_yesterday-1,abui1241-fuime,day_before_yesterday,hetadeŋ ajoku,hetadeŋ_ajoku,hetadeng ayoku,h e t a d e ŋ _ a j o k u,,schapper10
abui1241-fuime-tomorrow-1,abui1241-fuime,tomorrow,akuni,akuni,akuni,a k u n i,,schapper10
abui1241-fuime-day_after_tomorrow-1,abui1241-fuime,day_after_tomorrow,ajoku,ajoku,ayoku,a j o k u,,schapper10
abui1241-fuime-twilight_dawn-1,abui1241-fuime,twilight_dawn,arida pe,arida_pe,arida pe,a r i d a _ p e,,schapper10
abui1241-fuime-cloud-1,abui1241-fuime,cloud,kabuti,kabuti,kabuti,k a b u t i,,schapper10
abui1241-fuime-wind-1,abui1241-fuime,wind,timoi,timoi,timoi,t i m o i,,schapper10
abui1241-fuime-rain-1,abui1241-fuime,rain,anui,anui,anui,a n u i,,schapper10
abui1241-fuime-lightning-1,abui1241-fuime,lightning,falielai,falielai,falielai,f a l i e l a i,,schapper10
abui1241-fuime-earthquake-1,abui1241-fuime,earthquake,taijoka,taijoka,taiyoka,t a i j o k a,,schapper10
abui1241-fuime-fog-1,abui1241-fuime,fog,tabo,tabo,tabo,t a b o,,schapper10
abui1241-fuime-river_stream-1,abui1241-fuime,river_stream,lu,lu,lu,l u,,schapper10
abui1241-fuime-lake-1,abui1241-fuime,lake,wafoko,wafoko,wafoko,w a f o k o,,schapper10
abui1241-fuime-mountain-1,abui1241-fuime,mountain,buku,buku,buku,b u k u,,schapper10
abui1241-fuime-hill_ridge-1,abui1241-fuime,hill_ridge,buku,buku,buku,b u k u,,schapper10
abui1241-fuime-village-1,abui1241-fuime,village,melaŋ,melaŋ,melang,m e l a ŋ,,schapper10
abui1241-fuime-soil-1,abui1241-fuime,soil,anei,anei,anei,a n e i,,schapper10
abui1241-fuime-Earth-1,abui1241-fuime,Earth,buku,buku,buku,b u k u,,schapper10
abui1241-fuime-hole-1,abui1241-fuime,hole,uli,uli,uli,u l i,,schapper10
